OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=297589"",""17-598"")",Cyberlearning for Work at the Human-Technology Frontier,NSF,National Science Foundation,15000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/20/2017,01/11/2021,01/21/2020 01:00:21,Synopsis 5,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=297576"",""PA-17-488"")",New Onset Depressive Symptoms in Acute Illness (R01 Clinical Trial Not Allowed) ,HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,09/19/2017,01/07/2021,09/19/2017 11:55:19,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=297577"",""PA-17-487"")",New Onset Depressive Symptoms in Acute Illness (R21 Clinical Trial Not Allowed) ,HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,09/19/2017,01/07/2021,09/19/2017 12:05:19,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=297431"",""PAR-17-485"")",NIMH Research Education Mentoring Programs for HIV/AIDS Researchers (R25),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,09/15/2017,09/07/2020,10/17/2017 13:38:17,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=297399"",""P17AS00825"")",Battlefield Land Acquisition Grant- American Battlefield Protection Program,DOI-NPS,National Park Service,10000000,30,"ABPP BLAG Program Staff
202-354-2037
abpp_blag@nps.gov",,abpp_blag@nps.gov,,,09/14/2017,07/31/2020,03/06/2020 14:20:06,Synopsis 13,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=297339"",""PAR-17-482"")",Comparative Genomics Research Program (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,09/12/2017,01/07/2021,09/13/2017 09:59:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=297331"",""PA-17-481"")",Agency for Healthcare Research and Quality (AHRQ)-sponsored National Research Service Award (NRSA)Individual  Postdoctoral Fellowship (F32),HHS-AHRQ,Agency for Health Care Research and Quality,,,"Kathryn Marron AHRQ Referral Officer
Phone: 301-427-1554
Kathryn.marron@ahrq.hhs.gov",,Kathryn.marron@ahrq.hhs.gov,,,09/12/2017,08/08/2022,04/22/2019 18:29:22,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=297292"",""PAR-17-480"")",NINDS Renewal Awards of SBIR Phase II Grants (Phase IIB) for Pre-Clinical Research (R44) ,HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,09/11/2017,01/05/2021,03/24/2020 14:07:24,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=296913"",""17-594"")",Research Coordination Networks (RCN),NSF,National Science Foundation,12500000,25,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,08/29/2017,,05/21/2018 01:00:21,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=296741"",""PA-17-468"")",Secondary  Analyses of Existing Alcohol Research Data (R03),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,08/23/2017,09/07/2020,08/23/2017 13:51:23,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=296740"",""PA-17-467"")",Secondary  Analyses of Existing Alcohol Research Data (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,08/23/2017,09/07/2020,08/23/2017 13:42:23,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=296538"",""PA-17-461"")",Symptom Cluster Characterization in Chronic Conditions (R21),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,08/16/2017,01/07/2021,08/16/2017 09:34:16,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=296528"",""PA-17-462"")",Symptom Cluster Characterization in Chronic Conditions (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,08/16/2017,01/07/2021,08/16/2017 09:35:16,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=296553"",""PA-17-460"")","Biology of Lung, and Head and Neck Preneoplasias (R21)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,08/16/2017,01/07/2021,08/16/2017 14:47:16,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=296507"",""PA-17-459"")","Biology of Lung, and Head and Neck Preneoplasias (R01)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,08/15/2017,01/07/2021,08/15/2017 14:09:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=296506"",""PAR-17-458"")",Population Assessment of Tobacco and Health (PATH) Biospecimen Access (X01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,08/15/2017,10/31/2020,10/23/2017 11:53:23,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=296172"",""PA-17-449"")",The Interplay of Cell Death Pathways in Cancer Cell Survival and Resistance to Therapy (R21),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,08/04/2017,09/07/2020,08/04/2017 10:15:04,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=296153"",""PA-17-440"")",The Interplay of Cell Death Pathways in Cancer Cell Survival and Resistance to Therapy (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,08/04/2017,09/07/2020,08/04/2017 10:26:04,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=296089"",""PA-17-451"")",Pregnancy in Women with Disabilities (R03),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,08/03/2017,09/07/2020,08/03/2017 08:56:03,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=296112"",""PA-17-452"")",Pregnancy in Women with Disabilities (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,08/03/2017,09/07/2020,08/03/2017 09:15:03,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=296057"",""PA-17-446"")","Ethical, Legal, and Social Implications (ELSI) of Genomics Exploratory/Developmental Research Grant Program (R21)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,08/01/2017,09/07/2020,08/01/2017 13:57:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=296041"",""PA-17-445"")","Ethical, Legal, and Social Implications (ELSI) of Genomics Small Research Grant Program (R03)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,08/01/2017,09/07/2020,08/01/2017 13:53:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=296056"",""PA-17-444"")","Ethical, Legal, and Social Implications (ELSI) of Genomics Research Project Grant Program (R01)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,08/01/2017,09/07/2020,08/01/2017 13:54:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=295972"",""PAR-17-439"")",Limited Competition:  Small Research Grant Program for NIAID K01/K08/K23 Recipients (R03) ,HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,07/28/2017,09/07/2020,07/28/2017 11:04:28,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=295905"",""PAR-17-438"")",Assay development and screening for discovery of chemical probes or therapeutic agents (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,07/27/2017,09/07/2020,08/02/2017 12:20:02,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=295802"",""PAR-17-336"")",Discovery of in vivo Chemical Probes for Novel Brain Targets (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,07/24/2017,09/07/2020,07/24/2017 14:17:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=295804"",""PAR-17-335"")",Discovery of cell-based Chemical Probes for Novel Brain Targets (R21),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,07/24/2017,09/07/2020,07/24/2017 14:26:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=295736"",""17-582"")",Paleo Perspectives on Climate Change,NSF,National Science Foundation,11000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,07/21/2017,10/20/2020,10/29/2019 01:00:29,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=295725"",""PAR-17-331"")",Discovery of Small Molecule Immunomodulators for Cancer Therapy (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,07/20/2017,09/07/2020,08/01/2017 08:47:01,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=295706"",""PA-17-330"")",Using Small Molecules and Molecular Genetics to Identify Novel Targets and Mechanisms Contributing to Tumor Immune Evasion (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,07/20/2017,09/07/2020,08/01/2017 08:36:01,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=295711"",""17-580"")",Division of Materials Research: Topical Materials Research Programs,NSF,National Science Foundation,55000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,07/20/2017,11/02/2020,11/10/2019 21:41:10,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=295629"",""17-579"")",Louis Stokes Alliances for Minority Participation,NSF,National Science Foundation,22300000,40,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,07/18/2017,11/20/2020,02/08/2020 01:00:08,Synopsis 7,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=295449"",""PD-17-1620"")",Marine Geology and Geophysics,NSF,National Science Foundation,,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,07/13/2017,,11/18/2018 01:00:18,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=295374"",""HHS-2018-ACF-OHS-CH-R04-1301"")","Head Start and/or Early Head Start Grantee - Autauga, Chilton, Elmore, and Shelby Counties, Alabama",HHS-ACF-OHS,Administration for Children and Families - OHS,5497104,2,Shawna Pinckney,(888) 242-0684,OHSTech@reviewops.org,01/17/2018,03/22/2018,07/11/2017,,01/05/2018 13:23:05,Forecast 7,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=295147"",""APS-675-17-000001"")",Partnering for Impact in Guinea,USAID,Agency for International Development,,,USAID-Applications-Guinea@usaid.gov,,USAID-Applications-Guinea@usaid.gov,,,06/30/2017,,08/14/2017 19:47:14,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=294956"",""PAR-17-320"")",Multidisciplinary Studies of HIV/AIDS and Aging (R21),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,06/23/2017,09/07/2020,06/23/2017 11:46:23,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=294957"",""PAR-17-321"")",Multidisciplinary Studies of HIV/AIDS and Aging (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,06/23/2017,09/07/2020,06/23/2017 11:47:23,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=294906"",""PA-17-295"")",Integration of Individual Residential Histories into Cancer Research (R21),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,06/22/2017,09/07/2020,06/22/2017 12:34:22,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=294929"",""PA-17-298"")",Integration of Individual Residential Histories into Cancer Research (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,06/22/2017,09/07/2020,06/22/2017 12:26:22,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=294569"",""PAR-17-309"")",Cellular and Molecular Biology of Complex Brain Disorders (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,06/12/2017,09/07/2020,06/12/2017 13:47:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=294576"",""PAR-17-310"")",Cellular and Molecular Biology of Complex Brain Disorders (R21) ,HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,06/12/2017,09/07/2020,08/25/2017 10:55:25,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=294113"",""PA-17-296"")",Alcohol-Induced Effects on Tissue Injury and Repair (R21),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,05/25/2017,09/07/2020,05/25/2017 13:39:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=294103"",""PA-17-297"")",Alcohol-Induced Effects on Tissue Injury and Repair (R01) ,HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,05/25/2017,09/07/2020,05/25/2017 13:30:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=293928"",""HHS-2018-ACF-OHS-CH-R08-1277"")","Head Start Grantee - Morgan County, Colorado",HHS-ACF-OHS,Administration for Children and Families - OHS,664344,1,Shawna Pinckney,(888) 242-0684,OHSTech@reviewops.org,02/12/2018,04/13/2018,05/18/2017,,02/12/2018 13:35:12,Forecast 8,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=293847"",""PA-17-289"")",Leveraging Population-based Cancer Registry Data to Study Health Disparities (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,05/16/2017,09/07/2020,05/16/2017 11:09:16,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=293848"",""PA-17-288"")",Leveraging Population-based Cancer Registry Data to Study Health Disparities (R21),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,05/16/2017,09/07/2020,05/16/2017 11:30:16,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=293873"",""PAR-17-290"")",NIA MSTEM: Advancing Diversity in Aging Research through Undergraduate Education (R25),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,05/16/2017,09/07/2020,05/16/2017 12:09:16,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=293863"",""PAR-17-287"")",NIA Academic Leadership Career Award (K07),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/15/2017,01/07/2021,07/06/2020 13:18:06,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=293785"",""PA-17-282"")",Therapeutic Strategies for the Converging TB/T2DM/HIV Epidemics (R21),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,05/12/2017,09/07/2020,05/12/2017 12:28:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=293783"",""PA-17-283"")",Therapeutic Strategies for the Converging TB/T2DM/HIV Epidemics (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,05/12/2017,09/07/2020,05/12/2017 10:59:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=293493"",""PAR-17-264"")",Innovative Mental Health Services Research Not Involving Clinical Trials  (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,04/28/2017,01/07/2021,06/23/2020 12:58:23,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=293420"",""PA-17-262"")",Promoting NICHD Areas of Research for HIV/AIDS in Maternal and Child Health (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,04/25/2017,09/07/2020,04/25/2017 09:18:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=293348"",""17-555"")",Tectonics,NSF,National Science Foundation,9250000,50,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,04/21/2017,,04/21/2017 01:00:21,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=293347"",""17-554"")",Geophysics,NSF,National Science Foundation,14800000,80,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,04/21/2017,,07/25/2018 01:00:25,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=293241"",""17-553"")",Mathematical Sciences Research Institutes,NSF,National Science Foundation,30000000,8,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,04/18/2017,03/14/2024,03/22/2019 01:00:22,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=292877"",""W911NF-17-S-0002"")",Army Research Office Broad Agency Announcement for Fundamental Research,DOD-AMC,Dept of the Army -- Materiel Command,,1000,"KIA MCCORMICK
PROCUREMENT ANALYST
Phone: (919) 549-4281",,kia.s.mccormick.civ@mail.mil,,,04/01/2017,03/31/2022,04/23/2020 15:40:23,Synopsis 9,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=292896"",""W911NF-17-S-0003"")",Army Research Laboratory Broad Agency Announcement for Basic and Applied Scientific Research,DOD-AMC,Dept of the Army -- Materiel Command,,1000,"KIA MCCORMICK
PROCUREMENT ANALYST
Phone: (919) 549-4281",,kia.s.mccormick.civ@mail.mil,,,04/01/2017,03/31/2022,06/04/2020 07:32:04,Synopsis 11,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=292824"",""PA-17-232"")",AHRQ Mentored Clinical Scientist Research Career Development Award (K08),HHS-AHRQ,Agency for Health Care Research and Quality,,,"Kathryn Marron AHRQ Referral Officer
Phone: 301-427-1554
Kathryn.marron@ahrq.hhs.gov",,Kathryn.marron@ahrq.hhs.gov,,,03/29/2017,07/12/2022,04/22/2019 18:29:22,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=292814"",""16-552"")",Alliances for Graduate Education and the Professoriate,NSF,National Science Foundation,8000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,03/29/2017,12/11/2020,12/21/2019 01:00:21,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=292436"",""PA-17-220"")",Mechanisms of Alcohol-associated Cancers (R01),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,03/13/2017,09/07/2020,03/13/2017 12:12:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=292420"",""PA-17-219"")",Mechanisms of Alcohol-associated Cancers (R21),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,03/13/2017,09/07/2020,03/13/2017 12:51:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=292442"",""FA8651-17-S-0003"")",Armament Technology Broad Agency Announcement,DOD-AFRL-RW,Munitions Directorate,500000000,,"Nakisha Thomas
BAA Monitor
Phone 850-882-3711",,nakisha.thomas@us.af.mil,,,03/13/2017,03/11/2022,03/12/2020 08:26:12,Synopsis 5,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=292151"",""N00173-17-S-BA01"")",NRL WIDE BROAD AGENCY ANNOUNCEMENT,DOD-ONR-NRL,Naval Research Laboratory,,,"Mary Johnson
Contract Specialist
Phone 202-767-2021",,nrlproposals@nrl.navy.mil,,,03/01/2017,,03/01/2017 14:01:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=291953"",""PAR-17-170"")",Alcohol Research Resource Awards (R24),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,02/21/2017,09/07/2020,04/27/2020 11:55:27,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=291723"",""17-541"")",Robert Noyce Teacher Scholarship Program,NSF,National Science Foundation,58000000,70,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,02/10/2017,08/25/2020,09/04/2019 01:00:04,Synopsis 5,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=291415"",""PA-17-134"")","Public Policy Effects on Alcohol-, Marijuana-, and Other Substance-Related Behaviors and Outcomes (R03)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/25/2017,09/07/2020,04/13/2020 13:09:13,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=291439"",""PA-17-135"")","Public Policy Effects on Alcohol-, Marijuana-, and Other Substance-Related Behaviors and Outcomes (R01)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/25/2017,09/07/2020,04/13/2020 13:15:13,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=291416"",""PA-17-132"")","Public Policy Effects on Alcohol-, Marijuana-, and Other Substance-Related Behaviors and Outcomes (R21)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/25/2017,09/07/2020,04/13/2020 10:32:13,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=291052"",""17-536"")",Sedimentary Geology and Paleobiology,NSF,National Science Foundation,7400000,30,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,01/06/2017,,11/16/2018 01:00:16,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=290614"",""PA-17-077"")",Utilizing Health Information Technology to Scale and Spread Successful Practice Models Using Patient-reported Outcomes (R18),HHS-AHRQ,Agency for Health Care Research and Quality,,,"Kathryn Marron AHRQ Referral Officer
Phone: 301-427-1554
Kathryn.marron@ahrq.hhs.gov",,Kathryn.marron@ahrq.hhs.gov,,,12/12/2016,01/25/2021,10/03/2019 11:27:03,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=290351"",""PAS-AUS-FY2017-1"")",U.S. Mission Australia Annual Program Statement,DOS-AUS,U.S. Mission to Australia,,,"Irene Moore
Grants Manager
Phone 61 2 6214 5784",,PASGrantsAustralia@state.gov,,,11/28/2016,,11/27/2016 19:17:27,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=290118"",""17-521"")",Algorithms for Modern Power Systems,NSF,National Science Foundation,1200000,10,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,11/15/2016,02/08/2021,02/18/2020 01:00:18,Synopsis 9,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=289494"",""PA-17-007"")",Large Health Services Research Demonstration and Dissemination Projects for Prevention of Healthcare-Associated Infections (R18),HHS-AHRQ,Agency for Health Care Research and Quality,,,"Kathryn Marron AHRQ Referral Officer
Phone: 301-427-1554
Kathryn.marron@ahrq.hhs.gov",,Kathryn.marron@ahrq.hhs.gov,,,10/13/2016,01/25/2021,04/22/2019 18:29:22,Synopsis 1,
